id,has_labels
000,False
001,False
002,False
003,False
004,False
005,False
006,False
007,False
008,False
009,False
010,True
011,False
012,False
013,False
014,False
015,False
016,False
017,False
018,False
019,False
020,True
021,True
022,False
023,False
024,False
025,False
026,False
027,False
028,False
029,False
030,False
031,False
032,False
033,False
034,False
035,False
036,False
037,False
038,False
039,False
040,False
041,False
042,False
043,False
044,False
045,False
046,False
047,False
048,False
049,False
050,False
051,False
052,True
053,True
054,False
055,False
056,True
057,False
058,True
059,True
060,True
061,False
062,True
063,False
064,True
065,True
066,False
067,True
068,True
069,True
070,False
071,False
072,False
073,True
074,False
075,True
076,True
077,False
078,True
079,False
080,True
081,True
082,True
083,False
084,True
085,True
086,True
087,True
088,True
089,True
090,False
091,True
092,True
093,False
094,False
095,False
096,True
097,True
098,True
099,False
100,True
101,True
102,True
103,False
104,True
105,True
106,True
107,True
108,True
109,False
110,True
111,True
112,True
113,False
114,True
115,True
116,True
117,True
118,True
119,False
120,False
121,False
122,False
123,False
124,True
125,True
126,True
127,False
128,True
129,True
130,False
131,False
132,False
133,False
134,False
135,False
136,True
137,False
138,True
139,True
140,False
141,True
142,False
143,False
144,True
145,False
146,False
147,True
148,False
149,False
150,False
151,False
152,False
153,True
154,True
155,False
156,False
157,False
158,False
159,False
160,False
161,True
162,False
163,True
164,False
165,False
166,False
167,True
168,False
169,False
170,True
171,False
172,False
173,False
174,True
175,True
176,False
177,False
178,False
179,True
180,False
181,False
